severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,101,"Екопътека ""Екот от камбанен звън"" – Рибарица",Етрополе,Етрополе,"contact email suggests Plovdiv, but record region is 'Етрополе'"
high,contact_email_region_mismatch,102,"Екопътека ""Горица""",Западна Рила,Овчарци,"contact email suggests Plovdiv, but record region is 'Западна Рила'"
high,contact_email_region_mismatch,103,"Екопътека ""Горица"" (Овчарченски водопад)",Западна Рила,Овчарци,"contact email suggests Plovdiv, but record region is 'Западна Рила'"
high,contact_email_region_mismatch,104,Копренска екопътека,Западна Стара планина,Копиловци,"contact email suggests Plovdiv, but record region is 'Западна Стара планина'"
high,contact_email_region_mismatch,105,"Водопади ""Дуплево"", ""Скакалото"" и ""Костен камък"" - с.Орехово",Западни Родопи,село Орехово,"contact email suggests Plovdiv, but record region is 'Западни Родопи'"
high,contact_email_region_mismatch,106,Екопътека до Киселчовски водопад,Западни Родопи,Киселчово,"contact email suggests Plovdiv, but record region is 'Западни Родопи'"
high,contact_email_region_mismatch,107,Вазова екопътека,Искърско дефиле,Заселе,"contact email suggests Plovdiv, but record region is 'Искърско дефиле'"
high,contact_email_region_mismatch,108,"Водопад ""Вазова скакля"", Вазова екопътека",Искърско дефиле,Гара Бов,"contact email suggests Plovdiv, but record region is 'Искърско дефиле'"
high,contact_email_region_mismatch,109,"Туристическа пътека ""Под Камико""",Искърско дефиле,Гара Бов,"contact email suggests Plovdiv, but record region is 'Искърско дефиле'"
high,contact_email_region_mismatch,110,"Тракийски слънца и екопътека ""Дрънчи дупка""",Карлово,Мелница,"contact email suggests Plovdiv, but record region is 'Карлово'"
high,contact_email_region_mismatch,111,"Екопътека ""Божения""",Красен-Божичен,Божичен,"contact email suggests Plovdiv, but record region is 'Красен-Божичен'"
high,contact_email_region_mismatch,112,"Екопътека ""Пътят на Сърцето""",Кърджали,Борово,"contact email suggests Plovdiv, but record region is 'Кърджали'"
high,contact_email_region_mismatch,122,"Екопътека ""Гложене - Гложенски манастир - пещера Моровица""",Ловеч,Гложене,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,123,"Екопътека ""Нагоре към Слънцето""",Ловеч,Бабинци,"contact email suggests Plovdiv, but record region is 'Ловеч'"
